# Version 1.00
#
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
2.628700000000000E+009,-1.463842093944550E-001,4.109121119072806E-001,8.921466527307193E-004,6.045645204721950E-005,5.596572822284429E-001,5.586644172668457E+000,3.447668626904488E-002,1.003619123777877E-001,
2.630000000000000E+009,-1.312977671623230E-001,4.171097407287914E-001,-1.268006831511717E-003,4.648232425097376E-004,1.138317678474486E+000,5.446112155914307E+000,4.512505233287811E-002,8.484052669371733E-002,
2.631300000000000E+009,-1.315812766551971E-001,4.213086317420243E-001,1.612532541086519E-003,8.442465332336724E-004,1.663721447490224E+000,5.326214790344238E+000,5.302846431732178E-002,7.165849439679239E-002,
2.632600000000000E+009,-1.202364712953568E-001,4.337394287079117E-001,-8.327835713585908E-004,1.004997684503906E-004,2.226352686629006E+000,5.083681583404541E+000,6.626380234956741E-002,5.156207943620331E-002,
2.633900000000000E+009,-1.160395368933678E-001,4.278707116340979E-001,2.709223048809406E-004,-9.676336194388568E-004,2.702113716831641E+000,4.853695869445801E+000,7.382652908563614E-002,5.115901129578964E-002,
2.635200000000000E+009,-1.058457344770432E-001,4.283184431907581E-001,-3.526774182029110E-004,-5.846655112691224E-004,3.175657325125420E+000,4.547218322753906E+000,7.391267269849777E-002,2.903342473241580E-002,
2.636500000000000E+009,-9.268296509981155E-002,4.312046499895292E-001,-1.030059746461761E-003,-1.337156281806529E-003,3.668747902689173E+000,4.201884746551514E+000,7.590940594673157E-002,1.189474553421212E-002,
2.637800000000000E+009,-8.610378950834274E-002,4.381624919400249E-001,-2.063579036381499E-004,-1.360355527140200E-003,4.074688203897743E+000,3.793924093246460E+000,7.217813283205032E-002,-1.168483463333156E-003,
2.639100000000000E+009,-7.538975775241852E-002,4.338532967257129E-001,1.458458651816350E-003,1.310126972384751E-003,4.425185635455913E+000,3.343204259872437E+000,6.640036404132843E-002,-2.075536199789485E-002,
2.640400000000000E+009,-6.810157001018524E-002,4.438807092989001E-001,1.308570934622725E-003,-4.834892461076379E-004,4.741701661524248E+000,2.925246715545654E+000,5.938380956649780E-002,-3.950792508131096E-002,
