# Version 1.00
#
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
2.398108192577675E+009,1.346542182353500E-001,-4.232679149726691E-002,3.499965141912512E-004,7.774755355532447E-004,-1.307850876433356E+000,8.277885345431124E-001,7.276562151471838E-002,1.320255018310483E-001,
2.398122181592850E+009,1.260323468224827E-001,-2.857417250445178E-002,-3.175347923164412E-004,4.580499081575391E-004,-1.278851856929002E+000,8.558776041642172E-001,7.114615747056052E-002,1.366398503116645E-001,
2.398136170689628E+009,1.539809880991349E-001,-3.547773642977202E-002,1.547754398965356E-003,4.870128616770022E-004,-1.295488181582509E+000,7.913836045301110E-001,8.750854980331557E-002,1.353585326905571E-001,
2.398150159868009E+009,1.509105711723520E-001,-5.394672160204956E-002,1.456331348830687E-003,2.339184091904933E-003,-1.304361496672270E+000,8.573130767697885E-001,9.140583595915588E-002,1.282825453424797E-001,
2.398164149127994E+009,1.415181717680698E-001,-5.379226897116982E-002,-3.450216104991943E-003,-2.561035890998586E-003,-1.284072615815684E+000,8.499743030567268E-001,8.820223101086785E-002,1.426963881081806E-001,
2.398178138469583E+009,1.418218589394336E-001,-4.047565208842908E-002,-4.648118986633656E-004,5.324148625963958E-003,-1.283637337315175E+000,8.457691478701286E-001,9.435704388046806E-002,1.218876426996865E-001,
2.398192127892777E+009,1.291664502149685E-001,-5.451255743040917E-002,1.050597524571259E-003,5.519596052894231E-004,-1.275639440565351E+000,8.850453277279882E-001,9.384379264631398E-002,1.345242792165184E-001,
2.398206117397576E+009,1.351179501111991E-001,-2.950730800091286E-002,3.912172996281865E-003,-1.887168383593457E-003,-1.276586409771659E+000,8.655619730970932E-001,8.591945126127816E-002,1.510982706814850E-001,
2.398220106983981E+009,1.352636143303083E-001,-4.517289780378229E-002,-2.421462867586828E-003,-3.046422205362380E-004,-1.272111086320397E+000,8.447229503558462E-001,8.906206873306405E-002,1.338091597925652E-001,
2.398234096651992E+009,1.368466893054356E-001,-5.025749851597346E-002,-2.746464344438412E-003,-1.669275648217813E-003,-1.282572780106349E+000,8.565036747376826E-001,8.627117982788318E-002,1.190881479515768E-001,
2.398248086401610E+009,1.417484120086283E-001,-2.028585139212847E-002,-2.081696654005110E-003,4.738184040658556E-003,-1.268096622223042E+000,8.835421193831961E-001,8.686651271126364E-002,1.383258254238972E-001,
2.398262076232835E+009,1.526107686676765E-001,-5.097972202497074E-002,2.976358189925872E-003,-2.094003121633731E-003,-1.273783346449902E+000,8.793448870890730E-001,8.145188064679458E-002,1.289279110950547E-001,
2.398276066145668E+009,1.293415842123159E-001,-6.022926638526319E-002,2.348196494625240E-003,-4.475772213775178E-003,-1.266616192186639E+000,8.859957281360733E-001,9.123829804653624E-002,1.492998719854607E-001,
2.398290056140109E+009,1.508294825708922E-001,-2.963271765832928E-002,-1.795231912910042E-003,2.266890760196083E-003,-1.252863152530056E+000,8.477050553963034E-001,1.126262126281139E-001,1.078856028529229E-001,
2.398304046216158E+009,1.438218718797691E-001,-3.451267697323671E-002,-1.815614746400885E-003,-2.383770871604138E-003,-1.272065348991840E+000,8.730728324183266E-001,7.688406439093257E-002,1.318207555175191E-001,
2.398318036373817E+009,1.349192564046161E-001,-2.150660100836122E-002,2.430181708909753E-004,5.463540376728184E-004,-1.230221504158016E+000,8.940530117093655E-001,1.095434641324170E-001,1.231163335238072E-001,
2.398332026613085E+009,1.391535936710459E-001,-4.408164437961231E-002,2.673342000841553E-003,4.415810739254949E-003,-1.249961345903814E+000,8.661144656697193E-001,9.760310491988396E-002,1.475613463212484E-001,
